x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
,376,,,,-2,30,-14,367
0,30,0,378,,-4,-63,73,375
-8,19,-9,370,,-2,43,-20,378
2,-48,69,367,,-4,-65,72,375
-7,28,-15,303,,0,40,-13,367
-1,-52,71,230,,-6,-60,61,307
-3,33,-16,148,,-2,31,1,236
-3,-55,68,77,,-4,32,-20,157
-4,32,-9,0,,0,-58,76,88
-8,-7,9,0,,-4,40,-20,6
3,-28,49,0,,-2,-63,72,
0,27,1,0,,0,,,
-6,-44,51,0,,-2,-12,38,0
0,13,9,0,,-3,-3,10,0
-5,19,-5,0,,0,-27,51,0
-7,-34,37,0,,-3,25,-1,0
5,-2,22,0,,-3,-46,51,0
-8,-16,24,0,,-1,15,10,0
-4,-46,63,0,,-4,17,-11,0
-2,25,-8,0,,2,-46,65,0
-3,-51,55,0,,-5,31,-9,0
1,-27,55,0,,-5,-19,16,0
-5,13,-7,0,,0,-15,44,0
0,-40,65,0,,-7,37,-8,0
-1,23,12,0,,-2,-56,59,0
-6,-39,37,13,,-5,35,3,0
0,8,24,76,,-7,25,-9,0
-4,36,-18,127,,1,-54,70,32
-2,-60,73,186,,-8,39,-20,104
-4,42,-16,272,,-5,-30,30,149
-3,-64,68,334,,-2,0,38,216
-3,39,-9,369,,-6,-8,10,289
-6,-59,57,378,,-3,-26,54,346
-2,31,6,378,,-6,12,-7,370
-6,34,-17,374,,1,-43,68,378
0,-62,74,363,,-8,32,-15,377
-6,44,-22,293,,0,-56,73,373
-3,-64,75,219,,-8,39,-19,345
-4,46,-15,135,,0,-58,73,276
-5,-60,68,65,,-1,-6,40,198
-5,36,-2,0,,-8,-3,12,129
-6,-49,50,,,0,-22,51,55
,0,,,,-8,9,1,0
0,-50,75,0,,-3,-45,52,0
-8,37,-19,0,,-6,20,15,0
0,-61,76,0,,-9,18,0,0
-3,1,35,0,,0,-39,58,0
-8,-15,14,0,,-3,8,21,0
-4,-64,73,0,,-7,-27,33,0
-5,41,-13,0,,,,,
-5,-57,63,0,,,,,
-5,32,3,0,,0,-2,27,0
-9,23,-13,0,,-7,20,-1,0
0,-50,75,0,,-2,-40,56,0
-7,36,-18,0,,1,-7,32,0
-7,-32,33,0,,-8,-11,18,0
0,5,33,0,,0,-15,41,0
-7,42,-17,0,,-4,21,0,0
-2,-62,72,57,,-6,-41,58,0
-5,39,-11,114,,0,-21,50,0
-4,-59,65,169,,-7,5,2,0
-5,33,-2,249,,-8,-46,54,3
-8,-52,52,320,,0,21,7,62
0,20,12,357,,-5,16,-9,112
-6,29,-16,369,,-1,-48,70,170
,,,,,-3,32,-16,253
0,-58,73,381,,-3,-63,72,321
-5,39,-18,372,,-2,42,-17,368
-2,-62,70,367,,-5,-69,68,376
-3,36,-14,310,,0,41,-9,378
-4,-56,67,236,,-6,-57,55,375
-2,35,-5,163,,-1,24,11,368
-7,-52,54,89,,-5,-39,32,309
-1,23,9,21,,-1,2,33,242
-6,22,-12,0,,-2,52,-25,160
1,-54,68,0,,-2,-71,76,87
-4,34,-12,0,,-4,44,-14,2
-7,-23,25,0,,-2,-60,6,
2,-12,35,0,,0,0,,
-5,-6,12,0,,-4,26,3,0
-5,-54,58,0,,-4,30,-13,0
0,23,0,0,,1,-55,69,0
-5,14,0,0,,-2,5,21,0
1,-41,60,0,,-3,-21,24,0
0,12,13,0,,0,-15,36,0
-6,-32,31,0,,-3,27,-9,0
0,-50,67,0,,0,-48,57,0
-4,33,-16,0,,0,-26,55,0
-3,-55,71,0,,-6,11,-6,0
-4,36,-12,0,,2,-43,64,0
-6,-6,8,16,,-4,18,14,0
2,-26,52,87,,-4,-32,34,0
-6,9,-2,128,,2,-54,72,0
-5,-52,58,186,,-8,40,-15,0
-3,27,4,266,,2,-63,68,24
-3,-45,44,329,,0,-15,44,96
-2,15,17,365,,-7,2,4,127
-8,-31,28,377,,1,-32,63,182
0,0,35,379,,-8,21,-12,268
-4,44,-17,375,,1,-53,70,329
,,,,,-4,23,13,368
,,,,,-6,-38,34,378
-3,-64,70,366,,-3,7,32,378
-6,41,-9,309,,-7,-14,15,376
-6,-55,57,234,,0,-19,48,365
-3,30,7,162,,-9,8,0,320
-7,-39,43,85,,-4,-56,64,242
-3,11,27,15,,-5,33,2,170
-8,42,-22,0,,-7,-4,,
-1,-64,75,0,,3,47,98,
-6,45,-13,0,,-4,17,18,22
-2,-61,69,0,,-7,-28,32,0
0,-32,62,0,,0,-50,66,0
-8,18,-12,0,,-8,30,-4,0
1,-49,72,0,,-2,-47,59,0
-1,24,11,0,,0,-13,40,0
-8,-35,37,0,,-8,-6,14,0
-3,7,30,0,,-5,-46,54,0
-9,40,-21,0,,-4,19,4,0
-2,-62,73,0,,-5,-37,48,0
0,-12,49,0,,2,-27,49,0
-8,1,4,0,,-8,7,4,0
-5,-58,67,0,,-7,-34,44,0
-6,37,-1,0,,-1,11,14,0
-6,-53,53,38,,-7,-30,42,0
3,-45,69,101,,-2,-35,63,0
-9,29,-13,147,,-4,20,-7,0
0,-54,74,219,,-4,-45,67,13
-6,36,-19,300,,0,3,28,75
0,-64,72,350,,-7,-24,21,122
-4,39,-14,373,,0,-7,45,177
,,,,,-6,-5,4,252
-6,-61,68,382,,-6,-64,64,319
-3,37,-8,372,,-3,37,-2,366
-7,-55,54,373,,-7,-58,50,373
0,24,6,349,,0,23,15,377
-6,26,-15,267,,-7,-32,27,373
0,-50,75,204,,0,-8,39,367
-5,34,-21,117,,-4,-5,0,331
-1,-58,73,46,,-3,-73,75,254
-3,38,-16,0,,-3,48,-11,172
-3,-64,69,0,,-5,-61,58,99
1,-20,50,0,,-3,26,11,20
-7,6,0,0,,-3,-38,32,
-5,-57,56,0,,,0,,
0,24,4,0,,-2,-2,33,0
-5,24,-8,0,,-5,48,-20,0
0,-56,63,0,,-1,-65,69,0
-4,33,-14,0,,-4,34,-7,0
-8,-19,25,0,,-3,13,-4,0
2,-15,38,0,,1,-47,60,0
-6,-3,4,0,,-2,17,9,0
-4,-57,61,0,,-4,-31,35,0
-2,32,-4,0,,-3,3,28,0
-5,15,-7,0,,-6,32,-15,0
1,-41,66,0,,1,-57,68,0
-5,26,-14,0,,-2,-13,43,0
-4,-40,39,62,,-5,0,5,0
-2,9,21,113,,0,-55,63,0
-6,-25,27,165,,-7,35,-2,0
0,-3,35,235,,-7,14,-5,7
-5,-12,14,315,,2,-44,64,77
-1,-21,49,360,,-9,29,-13,125
-6,3,-1,376,,1,-54,73,175
-5,-56,59,382,,-8,38,-18,260
-3,31,2,376,,0,-64,72,324
-6,,,,,-4,-8,40,366
,-45,46,376,,-8,-7,8,375
-3,15,17,338,,0,-25,55,377
-6,-27,28,253,,-7,16,-6,373
-1,-2,37,183,,1,-45,68,368
-8,-5,13,106,,-9,32,-15,318
-4,-60,72,34,,1,-55,73,247
