x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
-5,-3,24,17,,20,-10,92,30,,-9,-49,75,0
-3,-4,24,18,,35,20,53,0,,-18,54,-21,73
-1,-4,26,17,,32,0,64,0,,-5,-54,67,118
-2,-5,25,18,,50,-14,99,0,,-15,51,-2,188
-2,-6,25,18,,51,14,67,0,,-1,-42,53,265
0,-7,25,17,,41,-37,87,0,,-13,30,14,338
2,-8,26,17,,55,-3,67,0,,1,,,
4,-8,28,17,,48,7,44,0,,,-25,34,362
4,-8,29,,,47,-54,91,0,,-3,8,32,375
,18,,,,44,11,39,0,,3,-2,20,378
5,-9,28,17,,32,-16,44,0,,8,-42,62,368
5,-11,28,18,,39,-46,7,,,-6,32,4,367
7,-12,29,17,,0,0,,,,12,-39,52,320
10,-13,31,18,,23,-8,22,0,,-1,23,13,238
11,-14,32,17,,11,-54,58,0,,12,-33,48,168
12,-16,33,18,,21,-25,37,0,,3,11,23,98
11,-18,32,17,,10,-45,37,0,,3,12,6,38
12,-18,33,17,,17,-84,65,0,,21,-40,58,0
15,-20,36,17,,14,-14,4,28,,11,2,30,0
17,-20,37,17,,17,-93,55,97,,12,-29,37,0
15,-20,36,17,,13,-28,9,137,,17,-5,36,0
13,-21,34,17,,12,-38,12,214,,8,15,5,0
14,-22,34,18,,23,-94,46,297,,21,-53,60,0
15,-22,35,17,,13,-33,1,356,,22,-18,42,0
15,-21,37,17,,20,-89,42,374,,7,-15,19,0
14,-21,36,17,,11,-27,3,382,,24,-29,50,0
13,-22,34,17,,13,-69,33,378,,15,16,10,0
12,-22,34,17,,4,-19,-7,373,,11,-51,46,0
15,-22,35,17,,10,-60,27,341,,16,7,19,0
14,-21,35,17,,4,-15,-6,265,,7,11,0,0
13,-20,36,18,,7,-55,20,189,,6,-39,36,0
11,-20,34,17,,6,-15,-6,120,,18,-8,28,0
10,-20,33,18,,6,-41,15,41,,6,-28,25,0
11,-20,33,18,,16,-48,38,0,,14,-57,57,0
11,-18,33,18,,8,13,-14,0,,11,11,2,46
7,-17,32,18,,4,-42,39,0,,5,-19,16,103
6,-16,31,18,,0,-4,14,0,,18,-33,42,157
4,-16,28,17,,-20,-2,-10,0,,6,-9,13,217
3,-15,29,18,,-18,-36,24,0,,14,-37,44,301
3,-13,30,18,,-28,29,-25,0,,5,-5,7,35
,,,,,-46,-32,6,0,,3,,,
2,-12,29,17,,-41,21,-31,0,,10,-40,47,370
-1,-12,28,18,,-52,-21,-16,0,,3,5,2,378
-4,-10,26,17,,-4,,,,,-2,-33,38,374
-3,-11,27,17,,0,10,-21,0,,6,0,17,368
-3,-9,26,18,,-45,0,-19,0,,-5,-28,29,358
-4,-9,27,18,,-35,-24,9,0,,2,-4,26,307
-6,-8,25,18,,-29,39,-31,0,,-2,20,-9,225
-8,-8,25,18,,-37,-10,10,0,,-6,-46,63,158
-8,-8,25,17,,-31,42,-9,29,,-4,27,-12,73
-7,-7,25,17,,-32,6,22,97,,-11,-50,58,0
-7,-6,24,17,,-25,2,33,136,,-7,27,-6,0
