x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
2,19,-40,-23,1,32,10,-8
15,14,-36,-41,24,5,-45,-4
7,15,-36,-34,-17,34,10,18
5,14,-33,-39,36,10,-23,-40
-10,3,-41,-42,-17,10,4,5
-22,9,-36,-35,16,15,1,-40
-20,4,-37,-37,23,-14,10,8
-39,10,-30,-33,-35,27,26,13
-38,4,-35,-40,10,-12,8,-28
-46,0,-24,-36,-46,-20,51,26
-40,15,-32,-34,0,37,13,-20
-38,6,-24,-28,-43,-20,49,42
-45,4,-21,-30,,16,36,27
,-1,-17,-29,-28,11,54,20
-29,-21,-5,-23,5,-9,54,47
-39,-21,-8,-27,-25,12,54,19
-28,-36,13,-11,18,-25,69,63
-29,-37,0,-16,-7,12,40,
-38,-47,17,,18,,,133
-29,-43,,-10,17,,87,65
-39,-40,25,-3,15,2,77,47
-29,-40,16,1,37,-49,53,60
-35,-31,29,12,17,12,93,66
-22,-45,39,10,53,-14,60,57
-29,-37,35,30,24,5,91,79
-11,-40,50,24,66,-16,104,47
-16,-29,40,36,32,29,46,95
3,-35,51,37,79,2,104,62
-2,-32,46,39,39,34,38,91
10,-24,34,47,84,44,59,60
19,-36,49,34,63,8,67,80
13,-33,46,49,64,39,24,62
37,-22,22,40,82,33,87,31
36,-29,34,47,55,45,20,96
40,-19,20,44,101,68,22,64
49,-14,23,23,61,30,75,42
42,-6,15,35,60,74,-2,69
51,4,15,13,100,69,70,24
45,-6,16,16,39,48,-7,54
40,3,11,26,72,80,67,29
50,15,16,7,65,48,-11,36
42,12,10,16,27,41,48,60
,29,16,9,,98,4,2
35,33,10,12,85,50,32,46
31,44,15,19,21,109,12,48
18,48,6,6,20,51,14,4
29,40,13,10,79,72,23,37
16,57,5,14,0,88,-27,
13,44,8,,54,53,41,0
15,51,12,11,25,87,26,20
11,40,-3,16,31,3,-31,16
16,2,6,5,38,,12,18
16,38,15,14,14,83,39,14
19,28,15,-4,48,19,,-2
17,12,,10,-8,73,39,15
20,20,11,-7,58,9,0,-10
6,12,7,4,-18,66,-24,16
